//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
DL_TZBAK_Fail,DOWL0052,DLErr_DL_TZBAK_Fail,烧录TZBAK 失败,Download TZBAK Fail,Y
DL_ABOOTBAK_Fail,DOWL0053,DLErr_DL_ABOOTBAK_Fail,烧录ABOOTBAK 失败,Download ABOOTBAK Fail,Y
DL_Splash_Fail,DOWL0054,DLErr_DL_Splash_Fail,下载Splash失败,Download Splash Fail,Y
//**others,,,,,
DL_Read_Checksum_File_Fail,DOWL1001,DLErr_DL_Read_Checksum_File_Fail,读取CheckSum失败,Read CheckSum file Fail,N
Phone_Is_Not_DL_Mode,DOWL1002,DLErr_Phone_Is_Not_DL_Mode,手机不是下载模式,Phone is not Download mode,Y
Image_Is_not_Exist,DOWL1003,DLErr_Image_Is_not_Exist,下载文件不存在,Image is not exist,N
Get_Unlock_Fail,DOWL1004,DLErr_Get_Unlock_Fail,解锁手机失败,Unlock phone Fail,Y
Md5_Check_Open_Fail,DOWL1005,DLErr_Md5_Check_Open_Fail,打开md5检查失败,Open md5 check Fail,Y
Reboot_Phone_Fail,DOWL1006,DLErr_Reboot_Phone_Fail,手机重启失败,Reboot phone Fail,Y
Read_Config_File_Fail,DOWL1007,DLErr_Read_Config_File_Fail,读取配置文档失败,Read config file Fail,N
Erase_User_Fat_Fail,DOWL1008,DLErr_Erase_User_Fat_Fail,擦除用户FAT失败,Erase User FAT Fail,Y
Oem_All_Qon,DOWL1009,DLErr_Oem_All_Qon,打开所有 variable 权限失败,Oem all Qon fail,Y
Erase_Inner_SD_Fail,DOWL1010,DLErr_Erase_Inner_SD_Fail,清除 inner SD 失败,Erase inner SD fail,Y
Oem_Emmc_Rst_N_Enable_Fail,DOWL1011,DLErr_Oem_Emmc_Rst_N_Enable_Fail,Emmc RST_N 激活失败,Emmc RST_N enable fail,Y
Erase_Modemst1_Fail,DOWL1012,DLErr_Erase_Modemst1_Fail,清除modemst1失败,Erase modemst1 fail,Y
Erase_Modemst2_Fail,DOWL1013,DLErr_Erase_Modemst2_Fail,清除modemst2失败,Erase modemst2 fail,Y
Erase_Fsg_Fail,DOWL1014,DLErr_Erase_Fsg_Fail,清除Fsg失败,Erase Fsg fail,Y
Superlock_Fail,DOWL1015,DLErr_Superlock_Fail,执行Superlock指令 fail,Superlock command Fail,Y
Erase_Qdlog_Fail,DOWL1016,DLErr_Erase_Qdlog_Fail,删除Qdlog fail,Erase Qdlog Fail,Y
